City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
522,fort mcmurray,56.7268,-111.381,14.77,82,40,3.6,CA,1689583609
523,san fernando,15.0286,120.6898,27.85,85,100,3.32,PH,1689583751
524,caleta de carquin,-11.0925,-77.6267,18.6,86,63,3.95,PE,1689583751
525,jinchang,38.4953,102.1739,32.99,13,0,4.81,CN,1689583751
526,ugoofaaru,5.6667,73.0,28.7,73,97,7.15,MV,1689583751
527,sao jose da coroa grande,-8.8978,-35.1478,23.39,84,27,3.0,BR,1689583752
528,ko samui,9.5357,99.9357,29.95,70,75,4.12,TH,1689583752
529,belousovka,50.1339,82.5239,27.47,36,40,4.0,KZ,1689583752
530,karachayevsk,43.774,41.9142,17.5,72,68,3.37,RU,1689583752
531,tamanrasset,22.785,5.5228,31.95,14,8,4.63,DZ,1689583753
532,pasuquin,18.3328,120.6177,29.97,79,75,8.23,PH,1689583753
533,aldama,22.9167,-98.0667,27.5,95,32,1.04,MX,1689583753
534,justo daract,-33.8594,-65.1828,3.15,63,100,4.53,AR,1689583753
535,buckeye,33.3703,-112.5838,36.75,30,49,2.51,US,1689583175
536,lubango,-14.9172,13.4925,19.81,27,0,4.73,AO,1689583753
537,ceeldheer,3.8488,47.1806,30.54,51,46,12.07,SO,1689583754
538,berriane,32.8265,3.7669,34.47,8,0,5.61,DZ,1689583754
539,barakani,-12.1356,44.4317,25.75,72,25,6.24,KM,1689583754
540,bozeman,45.6796,-111.0386,18.68,61,0,2.24,US,1689583592
541,kill devil hills,36.0307,-75.676,27.21,98,0,0.0,US,1689583685
542,pokoynoye,44.8097,44.2517,24.53,39,72,6.16,RU,1689583755
543,umm kaddadah,13.6017,26.6876,34.06,35,13,5.08,SD,1689583755
544,nehe,48.4833,124.8333,29.78,35,100,3.37,CN,1689583755
545,kilju,40.9642,129.3278,21.83,90,98,1.04,KP,1689583755
546,vredendal,-31.6683,18.5012,21.33,36,9,2.64,ZA,1689583755
547,tak,16.5833,98.8333,25.84,88,95,2.01,TH,1689583755
548,madalena,41.2162,-8.3345,23.08,62,0,0.97,PT,1689583756
549,hassi messaoud,31.6804,6.0729,36.92,10,0,4.12,DZ,1689583756
550,belmopan,17.25,-88.7667,24.21,100,81,0.65,BZ,1689583756
551,markovo,57.3206,107.0881,23.59,57,83,0.76,RU,1689583756
552,princeville,45.7668,-61.2985,19.68,93,0,3.09,CA,1689583756
553,matonga,-2.3833,34.0833,29.3,23,57,2.27,TZ,1689583757
554,la romana,18.4273,-68.9728,25.61,89,99,4.97,DO,1689583757
555,tralee,52.2704,-9.7026,15.14,77,75,5.66,IE,1689583757
556,mzimba,-11.9,33.6,20.85,39,2,4.41,MW,1689583758
